2025-05-14 04:39:54,379 - Spot Price: 24745.4, Supertrend: Green, Above EMA
2025-05-14 04:40:25,314 - Spot Price: 24745.55, Supertrend: Green, Above EMA
2025-05-14 04:40:56,433 - Spot Price: 24739.15, Supertrend: Green, Above EMA
2025-05-14 04:41:27,411 - Spot Price: 24735.4, Supertrend: Green, Above EMA
2025-05-14 04:41:58,413 - Spot Price: 24739.75, Supertrend: Green, Above EMA
2025-05-14 04:42:30,086 - Spot Price: 24743.9, Supertrend: Green, Above EMA
2025-05-14 04:43:01,540 - Spot Price: 24746.15, Supertrend: Green, Above EMA
2025-05-14 04:43:32,504 - Spot Price: 24749.9, Supertrend: Green, Above EMA
2025-05-14 04:44:03,444 - Spot Price: 24751.45, Supertrend: Green, Above EMA
2025-05-14 04:44:34,422 - Spot Price: 24750.45, Supertrend: Green, Above EMA
2025-05-14 04:45:05,487 - Spot Price: 24755.95, Supertrend: Green, Above EMA
2025-05-14 04:45:37,009 - Spot Price: 24762.35, Supertrend: Green, Above EMA
2025-05-14 04:46:08,023 - Spot Price: 24757.15, Supertrend: Green, Above EMA
2025-05-14 04:46:39,035 - Spot Price: 24751.55, Supertrend: Green, Above EMA
2025-05-14 04:47:10,036 - Spot Price: 24749.3, Supertrend: Green, Above EMA
2025-05-14 04:47:41,024 - Spot Price: 24752.75, Supertrend: Green, Above EMA
2025-05-14 04:48:12,131 - Spot Price: 24754.15, Supertrend: Green, Above EMA
2025-05-14 04:48:44,173 - Spot Price: 24754.2, Supertrend: Green, Above EMA
2025-05-14 04:49:15,164 - Spot Price: 24756.9, Supertrend: Green, Above EMA
2025-05-14 04:49:46,135 - Spot Price: 24761.8, Supertrend: Green, Above EMA
2025-05-14 04:50:17,105 - Spot Price: 24759.05, Supertrend: Green, Above EMA
2025-05-14 04:50:48,818 - Spot Price: 24760.4, Supertrend: Green, Above EMA
2025-05-14 04:51:19,772 - Spot Price: 24761.0, Supertrend: Green, Above EMA
2025-05-14 04:51:50,710 - Spot Price: 24762.75, Supertrend: Green, Above EMA
2025-05-14 04:52:21,709 - Spot Price: 24763.45, Supertrend: Green, Above EMA
2025-05-14 04:52:53,401 - Spot Price: 24762.05, Supertrend: Green, Above EMA
2025-05-14 04:53:24,378 - Spot Price: 24763.2, Supertrend: Green, Above EMA
2025-05-14 04:53:55,447 - Spot Price: 24761.8, Supertrend: Green, Above EMA
2025-05-14 04:54:26,460 - Spot Price: 24764.35, Supertrend: Green, Above EMA
2025-05-14 04:54:57,461 - Spot Price: 24766.5, Supertrend: Green, Above EMA
2025-05-14 04:55:28,439 - Spot Price: 24763.2, Supertrend: Green, Above EMA
2025-05-14 04:55:59,396 - Spot Price: 24758.9, Supertrend: Green, Above EMA
2025-05-14 04:56:30,338 - Spot Price: 24746.65, Supertrend: Green, Above EMA
2025-05-14 04:57:01,354 - Spot Price: 24746.45, Supertrend: Green, Above EMA
2025-05-14 04:57:32,272 - Spot Price: 24746.0, Supertrend: Green, Above EMA
2025-05-14 04:58:03,313 - Spot Price: 24746.35, Supertrend: Green, Above EMA
2025-05-14 04:58:34,436 - Spot Price: 24745.7, Supertrend: Green, Above EMA
2025-05-14 04:59:05,496 - Spot Price: 24746.05, Supertrend: Green, Above EMA
