2025-05-12 05:34:10,592 - Spot Price: 24687.7, Supertrend: Red, Above EMA
2025-05-12 05:34:41,930 - Spot Price: 24684.25, Supertrend: Red, Above EMA
2025-05-12 05:35:13,551 - Spot Price: 24687.25, Supertrend: Red, Above EMA
2025-05-12 05:35:45,620 - Spot Price: 24689.6, Supertrend: Red, Above EMA
2025-05-12 05:36:16,826 - Spot Price: 24705.35, Supertrend: Red, Above EMA
2025-05-12 05:36:48,352 - Spot Price: 24703.1, Supertrend: Red, Above EMA
2025-05-12 05:37:19,585 - Spot Price: 24698.05, Supertrend: Red, Above EMA
2025-05-12 05:37:50,863 - Spot Price: 24698.0, Supertrend: Red, Above EMA
2025-05-12 05:38:22,639 - Spot Price: 24697.2, Supertrend: Red, Above EMA
2025-05-12 05:38:54,458 - Spot Price: 24703.6, Supertrend: Red, Above EMA
2025-05-12 05:39:26,162 - Spot Price: 24710.9, Supertrend: Red, Above EMA
2025-05-12 05:39:57,595 - Spot Price: 24708.4, Supertrend: Red, Above EMA
2025-05-12 05:40:29,286 - Spot Price: 24714.0, Supertrend: Red, Above EMA
2025-05-12 05:41:01,233 - Spot Price: 24709.65, Supertrend: Red, Above EMA
2025-05-12 05:41:32,563 - Spot Price: 24710.55, Supertrend: Red, Above EMA
2025-05-12 05:42:04,205 - Spot Price: 24713.65, Supertrend: Red, Above EMA
2025-05-12 05:42:36,218 - Spot Price: 24712.7, Supertrend: Red, Above EMA
2025-05-12 05:43:07,593 - Spot Price: 24710.85, Supertrend: Red, Above EMA
2025-05-12 05:43:38,860 - Spot Price: 24712.25, Supertrend: Red, Above EMA
2025-05-12 05:44:10,970 - Spot Price: 24710.85, Supertrend: Red, Above EMA
2025-05-12 05:44:42,298 - Spot Price: 24706.15, Supertrend: Red, Above EMA
2025-05-12 05:45:13,693 - Spot Price: 24707.8, Supertrend: Red, Above EMA
2025-05-12 05:45:45,501 - Spot Price: 24707.15, Supertrend: Red, Above EMA
2025-05-12 05:46:16,937 - Spot Price: 24707.6, Supertrend: Red, Above EMA
2025-05-12 05:46:48,230 - Spot Price: 24706.25, Supertrend: Red, Above EMA
2025-05-12 05:47:19,550 - Spot Price: 24705.15, Supertrend: Red, Above EMA
2025-05-12 05:47:50,999 - Spot Price: 24702.75, Supertrend: Red, Above EMA
2025-05-12 05:48:22,423 - Spot Price: 24701.35, Supertrend: Red, Above EMA
2025-05-12 05:48:53,791 - Spot Price: 24705.25, Supertrend: Red, Above EMA
2025-05-12 05:49:25,275 - Spot Price: 24700.4, Supertrend: Red, Above EMA
2025-05-12 05:49:56,563 - Spot Price: 24701.35, Supertrend: Red, Above EMA
2025-05-12 05:50:27,912 - Spot Price: 24705.55, Supertrend: Red, Above EMA
2025-05-12 05:50:59,724 - Spot Price: 24704.5, Supertrend: Red, Above EMA
2025-05-12 05:51:31,251 - Spot Price: 24711.75, Supertrend: Red, Above EMA
2025-05-12 05:52:03,678 - Spot Price: 24717.35, Supertrend: Red, Above EMA
2025-05-12 05:52:35,460 - Spot Price: 24716.7, Supertrend: Red, Above EMA
2025-05-12 05:53:07,128 - Spot Price: 24715.35, Supertrend: Red, Above EMA
2025-05-12 05:53:38,738 - Spot Price: 24713.95, Supertrend: Red, Above EMA
2025-05-12 05:54:10,009 - Spot Price: 24719.75, Supertrend: Red, Above EMA
2025-05-12 05:54:41,346 - Spot Price: 24718.5, Supertrend: Red, Above EMA
2025-05-12 05:55:12,615 - Spot Price: 24722.95, Supertrend: Red, Above EMA
2025-05-12 05:55:44,429 - Spot Price: 24741.1, Supertrend: Red, Above EMA
2025-05-12 05:56:16,216 - Spot Price: 24739.55, Supertrend: Red, Above EMA
2025-05-12 05:56:47,485 - Spot Price: 24744.35, Supertrend: Red, Above EMA
2025-05-12 05:57:18,710 - Spot Price: 24738.05, Supertrend: Red, Above EMA
2025-05-12 05:57:50,089 - Spot Price: 24735.85, Supertrend: Red, Above EMA
2025-05-12 05:58:22,067 - Spot Price: 24736.4, Supertrend: Red, Above EMA
2025-05-12 05:58:53,545 - Spot Price: 24731.1, Supertrend: Red, Above EMA
2025-05-12 05:59:25,447 - Spot Price: 24736.15, Supertrend: Red, Above EMA
2025-05-12 05:59:56,713 - Spot Price: 24733.75, Supertrend: Red, Above EMA
2025-05-12 06:00:28,804 - Spot Price: 24733.9, Supertrend: Red, Above EMA
2025-05-12 06:01:00,053 - Spot Price: 24735.5, Supertrend: Red, Above EMA
2025-05-12 06:01:31,361 - Spot Price: 24737.6, Supertrend: Red, Above EMA
2025-05-12 06:02:02,983 - Spot Price: 24740.95, Supertrend: Red, Above EMA
2025-05-12 06:02:34,433 - Spot Price: 24740.5, Supertrend: Red, Above EMA
2025-05-12 06:03:05,668 - Spot Price: 24740.75, Supertrend: Red, Above EMA
2025-05-12 06:03:37,003 - Spot Price: 24736.55, Supertrend: Red, Above EMA
2025-05-12 06:04:08,311 - Spot Price: 24738.5, Supertrend: Red, Above EMA
2025-05-12 06:04:39,866 - Spot Price: 24734.45, Supertrend: Red, Above EMA
2025-05-12 06:05:11,177 - Spot Price: 24737.75, Supertrend: Red, Above EMA
2025-05-12 06:05:42,696 - Spot Price: 24738.05, Supertrend: Red, Above EMA
2025-05-12 06:06:14,223 - Spot Price: 24737.25, Supertrend: Red, Above EMA
